CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,C,Joel Embiid (31307230),Joel Embiid,31307230,CPT,18900,PHI@OKC 11/25/2023 05:00PM ET,PHI,60.57
,,,,,,,PG,Shai Gilgeous-Alexander (31307231),Shai Gilgeous-Alexander,31307231,CPT,17400,PHI@OKC 11/25/2023 05:00PM ET,OKC,53.96
,,,,,,,PG,Tyrese Maxey (31307232),Tyrese Maxey,31307232,CPT,15900,PHI@OKC 11/25/2023 05:00PM ET,PHI,47.18
,,,,,,,C,Chet Holmgren (31307233),Chet Holmgren,31307233,CPT,12900,PHI@OKC 11/25/2023 05:00PM ET,OKC,37.73
,,,,,,,C,Joel Embiid (31307194),Joel Embiid,31307194,UTIL,12600,PHI@OKC 11/25/2023 05:00PM ET,PHI,60.57
,,,,,,,SF/PF,Tobias Harris (31307234),Tobias Harris,31307234,CPT,12300,PHI@OKC 11/25/2023 05:00PM ET,PHI,34.13
,,,,,,,PG/SG,Josh Giddey (31307235),Josh Giddey,31307235,CPT,11700,PHI@OKC 11/25/2023 05:00PM ET,OKC,28.08
,,,,,,,PG,Shai Gilgeous-Alexander (31307195),Shai Gilgeous-Alexander,31307195,UTIL,11600,PHI@OKC 11/25/2023 05:00PM ET,OKC,53.96
,,,,,,,PG/SG,De'Anthony Melton (31307236),De'Anthony Melton,31307236,CPT,10800,PHI@OKC 11/25/2023 05:00PM ET,PHI,26.63
,,,,,,,PG,Tyrese Maxey (31307196),Tyrese Maxey,31307196,UTIL,10600,PHI@OKC 11/25/2023 05:00PM ET,PHI,47.18
,,,,,,,PF,Jalen Williams (31307237),Jalen Williams,31307237,CPT,10500,PHI@OKC 11/25/2023 05:00PM ET,OKC,29.67
,,,,,,,SF/PF,Kelly Oubre Jr. (31307238),Kelly Oubre Jr.,31307238,CPT,10200,PHI@OKC 11/25/2023 05:00PM ET,PHI,27.53
,,,,,,,C,Paul Reed (31307239),Paul Reed,31307239,CPT,9600,PHI@OKC 11/25/2023 05:00PM ET,PHI,13.72
,,,,,,,C,Chet Holmgren (31307197),Chet Holmgren,31307197,UTIL,8600,PHI@OKC 11/25/2023 05:00PM ET,OKC,37.73
,,,,,,,SF/PF,Tobias Harris (31307198),Tobias Harris,31307198,UTIL,8200,PHI@OKC 11/25/2023 05:00PM ET,PHI,34.13
,,,,,,,PG/SG,Josh Giddey (31307199),Josh Giddey,31307199,UTIL,7800,PHI@OKC 11/25/2023 05:00PM ET,OKC,28.08
,,,,,,,SG/SF,Isaiah Joe (31307240),Isaiah Joe,31307240,CPT,7800,PHI@OKC 11/25/2023 05:00PM ET,OKC,18.6
,,,,,,,SF,Luguentz Dort (31307241),Luguentz Dort,31307241,CPT,7500,PHI@OKC 11/25/2023 05:00PM ET,OKC,22.38
,,,,,,,PG/SG,De'Anthony Melton (31307200),De'Anthony Melton,31307200,UTIL,7200,PHI@OKC 11/25/2023 05:00PM ET,PHI,26.63
,,,,,,,PF,Jalen Williams (31307201),Jalen Williams,31307201,UTIL,7000,PHI@OKC 11/25/2023 05:00PM ET,OKC,29.67
,,,,,,,SF/PF,Kelly Oubre Jr. (31307202),Kelly Oubre Jr.,31307202,UTIL,6800,PHI@OKC 11/25/2023 05:00PM ET,PHI,27.53
,,,,,,,PF/C,Robert Covington (31307242),Robert Covington,31307242,CPT,6600,PHI@OKC 11/25/2023 05:00PM ET,PHI,14.42
,,,,,,,C,Paul Reed (31307203),Paul Reed,31307203,UTIL,6400,PHI@OKC 11/25/2023 05:00PM ET,PHI,13.72
,,,,,,,PF,Nicolas Batum (31307243),Nicolas Batum,31307243,CPT,6300,PHI@OKC 11/25/2023 05:00PM ET,PHI,14.68
,,,,,,,PG/SG,Cason Wallace (31307244),Cason Wallace,31307244,CPT,6000,PHI@OKC 11/25/2023 05:00PM ET,OKC,14.62
,,,,,,,SF,Kenrich Williams (31307245),Kenrich Williams,31307245,CPT,5700,PHI@OKC 11/25/2023 05:00PM ET,OKC,14.25
,,,,,,,SF,Marcus Morris Sr. (31307246),Marcus Morris Sr.,31307246,CPT,5400,PHI@OKC 11/25/2023 05:00PM ET,PHI,6.34
,,,,,,,SG/SF,Isaiah Joe (31307204),Isaiah Joe,31307204,UTIL,5200,PHI@OKC 11/25/2023 05:00PM ET,OKC,18.6
,,,,,,,SF,Luguentz Dort (31307205),Luguentz Dort,31307205,UTIL,5000,PHI@OKC 11/25/2023 05:00PM ET,OKC,22.38
,,,,,,,SG/SF,Aaron Wiggins (31307247),Aaron Wiggins,31307247,CPT,4800,PHI@OKC 11/25/2023 05:00PM ET,OKC,8.83
,,,,,,,C,Jaylin Williams (31307248),Jaylin Williams,31307248,CPT,4500,PHI@OKC 11/25/2023 05:00PM ET,OKC,11.6
,,,,,,,PF/C,Robert Covington (31307206),Robert Covington,31307206,UTIL,4400,PHI@OKC 11/25/2023 05:00PM ET,PHI,14.42
,,,,,,,PF,Nicolas Batum (31307207),Nicolas Batum,31307207,UTIL,4200,PHI@OKC 11/25/2023 05:00PM ET,PHI,14.68
,,,,,,,SF,Danuel House Jr. (31307249),Danuel House Jr.,31307249,CPT,4200,PHI@OKC 11/25/2023 05:00PM ET,PHI,7.7
,,,,,,,PG/SG,Cason Wallace (31307208),Cason Wallace,31307208,UTIL,4000,PHI@OKC 11/25/2023 05:00PM ET,OKC,14.62
,,,,,,,PG,Tre Mann (31307250),Tre Mann,31307250,CPT,3900,PHI@OKC 11/25/2023 05:00PM ET,OKC,9.55
,,,,,,,SF,Kenrich Williams (31307209),Kenrich Williams,31307209,UTIL,3800,PHI@OKC 11/25/2023 05:00PM ET,OKC,14.25
